gene|protein
PPIAL4E|A0A075B759
NBPF19|A0A087WUL8
CCDC187|A0A096LP49
CCDC187|A0A096LP49-2
UQCRHL|A0A096LP55
IGLV9-49|A0A0B4J1Y8
PPIAL4C|A0A0B4J2A2
TEX13C|A0A0J9YWL9
NBDY|A0A0U1RRE5
LBHD2|A0A0U1RRK4
CXorf51A|A0A1B0GTR3
FOXO3B|A0A2Z4LIS9
KANSL1L|A0AUZ9
SLC12A8|A0AV02
RBM47|A0AV96
RBM47|A0AV96-2
IFT56|A0AVF1
IFT56|A0AVF1-3
FER1L5|A0AVI2
TMEM129|A0AVI4
E2F8|A0AVK6
UBA6|A0AVT1
ESYT2|A0FGR8
ESYT2|A0FGR8-2
ESYT3|A0FGR9
MED19|A0JLT2
BLTP3B|A0JNW5
BLTP3B|A0JNW5-2
POTEB3|A0JP26
SHTN1|A0MZ66
SHTN1|A0MZ66-2
SLC5A10|A0PJK1
TMEM223|A0PJW6
DAPL1|A0PJW8
CIB4|A0PJX0
TLDC2|A0PJX2
SHISA3|A0PJX4
FEZF1|A0PJY2
GXYLT2|A0PJZ3
TMEM120B|A0PK00
TMEM72|A0PK05
LNP1|A1A4G5
ARHGAP10|A1A4S6
CFAP119|A1A4V9
IRGM|A1A4Y4
FAM170A|A1A519
ANO9|A1A5B4
SLC22A23|A1A5C7
BICDL2|A1A5D9
ODAM|A1E959
ARHGEF37|A1IGU5
FAM168B|A1KXE4
PXDNL|A1KZ92
MEX3A|A1L020
ILVBL|A1L0T0
C1orf226|A1L170
NDUFAF8|A1L188
SYCE3|A1L190
PLEKHG3|A1L390
GAGE12B|A1L429
GAGE12C|A1L429
GAGE12D|A1L429
GAGE12E|A1L429
NUTM2F|A1L443
PRSS38|A1L453
SSC5D|A1L4H1
FSD2|A1L4K1
SH3PXD2B|A1X283
CIBAR1|A1XBS5
CIBAR1|A1XBS5-2
ZBTB7C|A1YPR0
MACROD2|A1Z1Q3
MACROD2|A1Z1Q3-1
MACROD2|A1Z1Q3-4
ZC3H12D|A2A288
FRMD3|A2A2Y4
FRMD3|A2A2Y4-2
ANKRD18B|A2A2Z9
MAGEB16|A2A368
PTPDC1|A2A3K4
PTPDC1|A2A3K4-2
TTC24|A2A3L6
PIPSL|A2A3N6
BCLAF3|A2AJT9
BCLAF3|A2AJT9-2
DYTN|A2CJ06
CCDC78|A2IDD5
HFM1|A2PYH4
ZNF320|A2RRD8
WDR27|A2RRH5
NBAS|A2RRP1
TARS3|A2RTX5
HEATR9|A2RTY3
TESPA1|A2RU30
SMCO3|A2RU48
HYKK|A2RU49
HMX2|A2RU54
FAM234B|A2RU67
MEIOC|A2RUB1
CCDC66|A2RUB6
CCDC66|A2RUB6-3
TYW5|A2RUC4
TMEM132E-DT|A2RUQ5
CCDC144A|A2RUR9
DENND3|A2RUS2
CLPSL1|A2RUU4
DCDC2B|A2VCK2
FUOM|A2VDF0
TMEM131L|A2VDJ0
TMEM131L|A2VDJ0-5
SSPOP|A2VEC9
VWA8|A3KMH1
SBNO1|A3KN83
PRAMEF22|A3QJZ6
PRAMEF27|A3QJZ7
LAMB4|A4D0S4
CPED1|A4D0V7
CRPPA|A4D126
CRPPA|A4D126-2
FAM221A|A4D161
GSAP|A4D1B5
ZNF804B|A4D1E1
GTPBP10|A4D1E9
GTPBP10|A4D1E9-2
WDR91|A4D1P6
KLRG2|A4D1S0
RAB19|A4D1S5
DENND11|A4D1U4
CDC14C|A4D256
SPMIP7|A4D263
MBLAC1|A4D2B0
PMS2P1|A4D2B8
CTAGE15|A4D2H0
GRID2IP|A4D2P6
MTMR11|A4FU01
CTAGE9|A4FU28
SH3D21|A4FU49
SH3D21|A4FU49-6
EFCAB5|A4FU69
SLC35F4|A4IF30
CFAP90|A4QMS7
LINC01553|A4QN01
PI4KAP2|A4QPH2
XIRP2|A4UGR9
XIRP2|A4UGR9-2
XIRP2|A4UGR9-4
XIRP2|A4UGR9-8
POTEF|A5A3E0
FITM1|A5D6W6
CLEC18A|A5D8T8
VPS37C|A5D8V6
ODAD3|A5D8V7
ODAD3|A5D8V7-2
CFAP69|A5D8W1
PSD|A5PKW4
KRBA1|A5PL33
KRBA1|A5PL33-2
RGSL1|A5PLK6
ANKRD34B|A5PLL1
PEDS1|A5PLL7
FAM149A|A5PLN7
TRAPPC13|A5PLN9
HTR3E|A5X5Y0
HTR3E|A5X5Y0-3
CNOT1|A5YKK6
CNOT1|A5YKK6-2
CNOT1|A5YKK6-4
ARHGEF35|A5YM69
CARNS1|A5YM72
CARNS1|A5YM72-5
MEGF11|A6BM72
CDHR4|A6H8M9
BDP1|A6H8Y1
FAM221B|A6H8Z2
C5orf63|A6NC05
ANKRD62|A6NC57
GOLGA8IP|A6NC78
PINLYP|A6NC86
CCDC88B|A6NC98
CCDC88B|A6NC98-2
CCDC88B|A6NC98-5
GOLGA8O|A6NCC3
GOLGA8O|A6NCC3-1
KLHL33|A6NCF5
VWA3A|A6NCI4
C2orf78|A6NCI8
GMNC|A6NCL1
ANKRD33B|A6NCL7
IQCA1L|A6NCM1
RNF222|A6NCQ9
NKX2-6|A6NCS4
C2orf72|A6NCS6
OR6C74|A6NCV1
USP17L3|A6NCW0
FAM83G|A6ND36
OR14I1|A6ND48
ASPDH|A6ND91
ASPDH|A6ND91-2
LRIT2|A6NDA9
PALM3|A6NDB9
RBMY1B|A6NDE4
GAGE12H|A6NDE8
PGP|A6NDG6
OR5H15|A6NDH6
TRIM49B|A6NDI0
GOLGA6C|A6NDK9
GOLGA6B|A6NDN3
TBC1D3B|A6NDS4
RIMOC1|A6NDU8
TMEM8B|A6NDV4
ZNF840P|A6NDX5
PABPN1L|A6NDY0
FAM90A10|A6NDY2
FAM186A|A6NE01
BTBD17|A6NE02
WDR97|A6NE52
NPEPPSL1|A6NEC2
RCCD1|A6NED2
PLEKHD1|A6NEE1
GOLGA6L4|A6NEF3
TMEM247|A6NEH6
ARRDC5|A6NEK1
SOWAHB|A6NEL2
GOLGA6L9|A6NEM1
RBMY1E|A6NEQ0
FAM181B|A6NEQ2
TBC1D3F|A6NER0
GAGE12J|A6NER3
MROH2A|A6NES4
PRR23A|A6NEV1
POM121B|A6NF01
ANTXRL|A6NF34
OR6C6|A6NF89
SPATA31F3|A6NFA0
TRABD2B|A6NFA1
OR2W5P|A6NFC9
SMCO2|A6NFE2
FABP12|A6NFH5
ZNF316|A6NFI3
GRXCR2|A6NFK2
RBFOX3|A6NFN3
ANKUB1|A6NFN9
TCAF2|A6NFQ2
TCAF2|A6NFQ2-3
DPRX|A6NFQ7
SPATA31J1|A6NFR6
MFSD2B|A6NFX1
NEMP2|A6NFY4
SDHAF1|A6NFY7
FAM24A|A6NFZ4
TMEM202|A6NGA9
TMEM191C|A6NGB0
TMEM221|A6NGB7
WIPF3|A6NGB9
TLCD2|A6NGC4
ZSCAN5C|A6NGD5
DCAF8L1|A6NGE4
URAD|A6NGE7
PCARE|A6NGG8
CCDC160|A6NGH7
TRIM64|A6NGJ6
GAGE10|A6NGK3
PRAMEF25|A6NGN4
IGLON5|A6NGN9
MROH6|A6NGR9
FRG2C|A6NGY1
C5orf52|A6NGY3
OR51F1|A6NGY5
SMIM9|A6NGZ8
OR2T8|A6NH00
GLTPD2|A6NH11
SERINC4|A6NH21
TVP23A|A6NH52
ARL5C|A6NH57
OR4C46|A6NHA9
CAPN8|A6NHC0
DDTL|A6NHG4
ZNF860|A6NHJ4
TUBAL3|A6NHL2
OTOL1|A6NHN0
NPIPB15|A6NHN6
SPDYE2B|A6NHP3
EPOP|A6NHQ4
SMCHD1|A6NHR9
MANSC4|A6NHS7
HMX3|A6NHT5
ANKDD1B|A6NHY2
LRRC14B|A6NHZ5
TRIM64B|A6NI03
ARHGAP42|A6NI28
POTEM|A6NI47
CCDC154|A6NI56
MYMK|A6NI61
LILRA5|A6NI73
CCDC69|A6NI79
GOLGA6L10|A6NI86
CBY3|A6NI87
UNC119B|A6NIH7
OR6C70|A6NIJ9
LRRC10B|A6NIK2
AGAP5|A6NIR3
LINC01549|A6NIU2
LRRIQ4|A6NIV6
WTIP|A6NIX2
SPDYE5|A6NIY4
RAP1BL|A6NIZ1
NKX6-3|A6NJ46
NPIPB2|A6NJ64
METTL15|A6NJ78
SAGE2P|A6NJ88
PRR19|A6NJB7
SOWAHD|A6NJG2
